id,mode,value,value-mode
542,,210:17:0,paint
543,,210:17:0,paint
544,,210:17:0,paint
545,,150:16:0,paint
546,,215:17:0,paint
547,,215:17:0,paint
548,,215:17:0,paint
549,,215:17:0,paint
550,,215:17:0,paint
551,,215:17:0,paint
552,,219:17:0,paint
553,,219:17:0,paint
554,,219:17:0,paint
555,,219:17:0,paint
556,,219:17:0,paint
557,,219:17:0,paint
558,,219:17:0,paint
559,,224:16:0,paint
560,,224:16:0,paint
561,,224:16:0,paint
562,,224:16:0,paint
563,,224:16:0,paint
564,,224:16:0,paint
565,,224:16:0,paint
566,,227:17:0,paint
567,,227:17:0,paint
568,,227:17:0,paint
569,,227:17:0,paint
570,,227:17:0,paint
571,,227:17:0,paint
572,,227:17:0,paint
573,,231:17:0,paint
574,,231:17:0,paint
575,,231:17:0,paint
576,,231:17:0,paint
577,,231:17:0,paint
578,,231:17:0,paint
579,,231:17:0,paint
580,,232:17:0,paint
581,,232:17:0,paint
582,,232:17:0,paint
583,,232:17:0,paint
584,,232:17:0,paint
585,,232:17:0,paint
586,,232:17:0,paint
587,,232:17:0,paint
588,,232:17:0,paint
589,,232:17:0,paint
590,,232:17:0,paint
591,,232:17:0,paint
592,,232:17:0,paint
593,,232:17:0,paint
594,,232:17:0,paint
595,,232:17:0,paint
596,,232:17:0,paint
597,,232:17:0,paint
598,,232:17:0,paint
599,,232:17:0,paint
600,,232:17:0,paint
601,,232:17:0,paint
602,,232:17:0,paint
603,,232:17:0,paint
604,,232:17:0,paint
605,,232:17:0,paint
606,,232:17:0,paint
607,,232:17:0,paint
608,,232:17:0,paint
609,,232:17:0,paint
610,,232:17:0,paint
611,,232:17:0,paint
612,,232:17:0,paint
613,,232:17:0,paint
614,,232:17:0,paint
615,,232:17:0,paint
616,,232:17:0,paint
617,,232:17:0,paint
618,,232:17:0,paint
619,,232:17:0,paint
620,,232:17:0,paint
621,,232:17:0,paint
622,,232:17:0,paint
623,,232:17:0,paint
624,,232:17:0,paint
625,,232:17:0,paint
626,,232:17:0,paint
627,,232:17:0,paint
628,,232:17:0,paint
629,,232:17:0,paint
630,,232:17:0,paint
631,,232:17:0,paint
632,,232:17:0,paint
633,,232:17:0,paint
634,,232:17:0,paint
635,,232:17:0,paint
636,,232:17:0,paint
637,,232:17:0,paint
638,,232:17:0,paint
639,,232:17:0,paint
640,,232:17:0,paint
641,,232:17:0,paint
642,,232:17:0,paint
643,,232:17:0,paint
644,,232:17:0,paint
645,,232:17:0,paint
646,,232:17:0,paint
647,,232:17:0,paint
648,,232:17:0,paint
649,,232:17:0,paint
650,,232:17:0,paint
651,,232:17:0,paint
652,,232:17:0,paint
653,,232:17:0,paint
654,,232:17:0,paint
655,,232:17:0,paint
656,,232:17:0,paint
657,,232:17:0,paint
658,,232:17:0,paint
659,,232:17:0,paint
660,,232:17:0,paint
661,,232:17:0,paint
662,,232:17:0,paint
663,,232:17:0,paint
664,,232:17:0,paint
665,,232:17:0,paint
666,,232:17:0,paint
667,,232:17:0,paint
668,,232:17:0,paint
669,,232:17:0,paint
670,,232:17:0,paint
671,,232:17:0,paint
672,,232:17:0,paint
673,,232:17:0,paint
674,,232:17:0,paint
675,,232:17:0,paint
676,,232:17:0,paint
677,,232:17:0,paint
678,,232:17:0,paint
679,,232:17:0,paint
680,,232:17:0,paint
681,,232:17:0,paint
682,,232:17:0,paint
683,,232:17:0,paint
684,,232:17:0,paint
685,,232:17:0,paint
686,,232:17:0,paint
687,,232:17:0,paint
688,,232:17:0,paint
689,,232:17:0,paint
690,,232:17:0,paint
691,,232:17:0,paint
692,,232:17:0,paint
693,,232:17:0,paint
694,,232:17:0,paint
695,,232:17:0,paint
696,,232:17:0,paint
697,,232:17:0,paint
698,,232:17:0,paint
699,,232:17:0,paint
700,,232:17:0,paint
701,,232:17:0,paint
702,,232:17:0,paint
703,,232:17:0,paint
704,,232:17:0,paint
705,,232:17:0,paint
706,,232:17:0,paint
707,,232:17:0,paint
708,,232:17:0,paint
709,,232:17:0,paint
710,,232:17:0,paint
711,,232:17:0,paint
712,,232:17:0,paint
713,,232:17:0,paint
714,,232:17:0,paint
715,,232:17:0,paint
716,,232:17:0,paint
717,,232:17:0,paint
718,,232:17:0,paint
719,,232:17:0,paint
720,,232:17:0,paint
721,,232:17:0,paint
722,,232:17:0,paint
723,,232:17:0,paint
724,,232:17:0,paint
725,,232:17:0,paint
726,,232:17:0,paint
727,,232:17:0,paint
728,,232:17:0,paint
729,,232:17:0,paint
730,,232:17:0,paint
731,,232:17:0,paint
732,,232:17:0,paint
733,,232:17:0,paint
734,,232:17:0,paint
735,,232:17:0,paint
736,,232:17:0,paint
737,,232:17:0,paint
738,,232:17:0,paint
739,,232:17:0,paint
740,,232:17:0,paint
741,,232:17:0,paint
742,,232:17:0,paint
743,,232:17:0,paint
744,,232:17:0,paint
745,,232:17:0,paint
746,,232:17:0,paint
747,,232:17:0,paint
748,,232:17:0,paint
749,,232:17:0,paint
750,,232:17:0,paint
751,,232:17:0,paint
752,,232:17:0,paint
753,,232:17:0,paint
754,,232:17:0,paint
755,,232:17:0,paint
756,,232:17:0,paint
757,,232:17:0,paint
758,,232:17:0,paint
759,,232:17:0,paint
760,,232:17:0,paint
761,,232:17:0,paint
762,,232:17:0,paint
763,,232:17:0,paint
764,,232:17:0,paint
765,,232:17:0,paint
766,,232:17:0,paint
767,,232:17:0,paint
768,,232:17:0,paint
769,,232:17:0,paint
770,,232:17:0,paint
771,,232:17:0,paint
772,,232:17:0,paint
773,,232:17:0,paint
774,,232:17:0,paint
775,,232:17:0,paint
776,,232:17:0,paint
777,,232:17:0,paint
778,,232:17:0,paint
779,,232:17:0,paint
780,,232:17:0,paint
781,,232:17:0,paint
782,,232:17:0,paint
783,,232:17:0,paint
784,,232:17:0,paint
785,,232:17:0,paint
786,,232:17:0,paint
787,,232:17:0,paint
788,,232:17:0,paint
789,,232:17:0,paint
790,,232:17:0,paint
791,,232:17:0,paint
792,,232:17:0,paint
793,,232:17:0,paint
794,,232:17:0,paint
795,,232:17:0,paint
796,,232:17:0,paint
797,,232:17:0,paint
798,,232:17:0,paint
799,,232:17:0,paint
800,,232:17:0,paint
801,,232:17:0,paint
802,,232:17:0,paint
803,,232:17:0,paint
804,,232:17:0,paint
805,,232:17:0,paint
806,,232:17:0,paint
807,,232:17:0,paint
808,,232:17:0,paint
809,,232:17:0,paint
810,,232:17:0,paint
811,,232:17:0,paint
812,,232:17:0,paint
813,,232:17:0,paint
814,,232:17:0,paint
815,,232:17:0,paint
816,,232:17:0,paint
817,,232:17:0,paint
818,,232:17:0,paint
819,,232:17:0,paint
820,,232:17:0,paint
821,,232:17:0,paint
822,,232:17:0,paint
823,,232:17:0,paint
824,,232:17:0,paint
825,,232:17:0,paint
826,,232:17:0,paint
827,,232:17:0,paint
828,,232:17:0,paint
829,,232:17:0,paint
830,,232:17:0,paint
831,,232:17:0,paint
832,,232:17:0,paint
833,,232:17:0,paint
834,,232:17:0,paint
835,,232:17:0,paint
836,,232:17:0,paint
837,,232:17:0,paint
838,,232:17:0,paint
839,,232:17:0,paint
840,,232:17:0,paint
841,,232:17:0,paint
842,,232:17:0,paint
843,,232:17:0,paint
844,,232:17:0,paint
845,,232:17:0,paint
846,,232:17:0,paint
847,,232:17:0,paint
848,,232:17:0,paint
849,,232:17:0,paint
850,,232:17:0,paint
851,,232:17:0,paint
852,,232:17:0,paint
853,,232:17:0,paint
854,,232:17:0,paint
855,,232:17:0,paint
856,,232:17:0,paint
857,,232:17:0,paint
858,,232:17:0,paint
859,,232:17:0,paint
860,,232:17:0,paint
861,,232:17:0,paint
862,,232:17:0,paint
863,,232:17:0,paint
864,,232:17:0,paint
865,,232:17:0,paint
866,,232:17:0,paint
867,,232:17:0,paint
868,,232:17:0,paint
869,,232:17:0,paint
870,,232:17:0,paint
871,,232:17:0,paint
872,,232:17:0,paint
873,,232:17:0,paint
874,,232:17:0,paint
875,,232:17:0,paint
876,,232:17:0,paint
877,,232:17:0,paint
878,,232:17:0,paint
879,,232:17:0,paint
880,,232:17:0,paint
881,,232:17:0,paint
882,,232:17:0,paint
883,,232:17:0,paint
884,,232:17:0,paint
885,,232:17:0,paint
886,,232:17:0,paint
887,,232:17:0,paint
888,,232:17:0,paint
889,,232:17:0,paint
890,,232:17:0,paint
891,,232:17:0,paint
